DIRECTORIO;FEX_C
7575237;93.857154165
7575238;130.98831303
7575239;114.27714486
7575240;137.95072405
7575241;69.27719132
7575243;137.09750118
7575244;97.199067927
7575246;99.038570138
7575247;116.55030091
7575248;92.426051994
7575249;92.426051994
7575250;87.080634111
7575252;93.115272948
7575280;100.58909374
7575281;77.384547459
7575282;101.03287548
7575283;142.5638573
7575284;97.63673128
7575285;142.5638573
7575286;142.25058435
7575287;118.80800125
7575288;137.7040429
7575649;11.689666291
7575650;12.053786238
7575651;15.130453435
7575652;15.494573382
7575653;11.689666291
7575663;17.567669155
7575664;18.893248961
7575665;20.481780352
7575666;18.893248961
7575667;17.567669155
7575668;24.121916536
7575669;23.233002666
7575670;21.704224803
7575672;31.686836279
7575674;40.231870544
7575678;31.686836279
7575679;32.464189079
7575680;81.936770996
7575681;70.534692289
7575683;59.600478195
7575685;80.943603262
7575686;59.600478195
7575687;81.547199611
7575688;66.434398088
7575690;115.88529862
7575691;81.952465835
7575692;63.005548614
7575693;73.392479649
7575694;75.192970209
7575695;85.700465788
7575696;65.28171362
7575697;68.636040732
7575698;81.936770996
7575699;72.849242936
7575700;73.392479649
7575701;52.869069941
7575702;48.892005417
7575703;32.94956432
7575704;42.410410233
7575705;66.30331016
7575706;58.774101986
7575707;66.86459787
7575709;51.449307972
7575711;32.743614601
7575712;29.681187963
7575713;30.543606734
7575714;30.151426501
7575715;24.187867034
7575717;42.246308389
7575718;54.944331172
7575720;31.782193849
7575721;53.693800166
7575722;45.850009968
7575723;37.96856094
7575727;43.57163877
7575728;45.850009968
7575729;43.896552425
7575731;53.773276721
7575732;44.410018751
7575733;65.486468586
7575734;56.768580768
7575736;33.125256967
7575737;54.948243668
7575738;41.671603108
7575739;53.170958164
7575740;30.386841324
7575742;51.05956664
7575743;52.17523797
7575744;28.853345829
7575745;30.677879463
7575746;52.31217819
7575747;52.31217819
7575748;50.681633761
7575749;38.85975106
7575750;51.05956664
7575751;53.903710347
7575752;50.681633761
7575753;33.826914253
7575754;54.30759436
7575755;51.05956664
7576069;58.263106428
7576071;47.206315427
7576074;198.55704384
7576075;165.72544563
7576076;60.47288235
7576079;106.15879221
7576080;79.448050941
7576081;64.632745009
7576082;67.824414761
7576083;76.277936162
7576084;59.498922034
7576085;67.926901587
7576086;178.76174794
7576088;287.00903683
7576089;319.49933812
7576090;208.76270704
7576092;285.10743534
7576093;193.29880282
7576094;193.29880282
7576095;240.69973755
7576097;214.17339811
7576098;309.30250001
7576099;280.7494853
7576100;217.83251785
7576101;203.68997922
7576102;184.45234143
7576104;284.40860503
7576106;214.17339811
7576108;210.51427837
7576109;146.32231768
7576111;184.45234143
7576112;184.45234143
7576113;152.4691313
7576114;327.95936079
7576116;304.64360143
7576117;264.39497562
7576119;249.96931229
7576121;246.94505524
7576122;235.48630418
7576123;414.24586336
7576124;276.81547818
7576162;200.18943791
7576163;200.18943791
7576164;213.54993847
7576165;331.67142924
7576166;217.06599719
7576167;146.60274479
7576168;225.33631474
7576169;225.33631474
7576170;154.22755442
7576171;158.29027921
7576172;162.71503969
7576173;281.81825974
7576174;330.00520684
7576175;250.48625418
7576176;152.89325578
7576177;234.7514641
7576178;141.3898517
7576179;229.13035625
7576180;190.53709811
7576181;235.87218637
7576182;236.27405219
7576183;303.77163499
7576184;131.03960703
7576185;172.50480596
7576186;267.36508875
7576187;286.6608114
7576188;328.80761428
7576189;268.77053536
7576190;220.2083817
7576191;260.15201861
7576329;35.400598342
7576333;41.903455103
7576335;31.006659962
7576336;35.400598342
