DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P784S4A3;P784S4A4
7594145;1;1;1;96.503073829;1;1600000
7594151;1;1;1;177.35418331;1;228000
7594349;1;1;1;63.469056921;1;1920000
7594370;1;1;1;528.67693758;1;400000
7594386;1;1;1;59.006804031;1;160000
7594387;1;1;1;116.96970686;1;304000
7594418;1;1;1;38.254909631;1;1920000
7594430;1;1;1;46.756294366;1;1920000
7594446;1;1;1;44.695083675;1;450000
7594448;1;1;1;241.89437115;1;890000
7594466;1;1;1;33.766460646;1;1920000
7594473;1;1;1;355.89535239;1;300000
7594481;1;1;1;46.756294366;1;1920000
7594507;1;1;1;63.469056921;1;1920000
7594585;1;1;1;396.37671404;1;950000
7594639;1;1;1;148.7762117;1;840000
7594700;1;1;1;7.2975966808;1;2400000
7594808;1;1;1;6.6255701569;1;432000
7599012;1;1;1;547.90484314;1;912000
7599077;1;1;1;301.82485769;1;480000
7599175;1;1;1;310.0549177;1;225000
7599266;1;1;1;378.25905251;1;75000
7599272;1;1;1;192.95063464;1;225000
7599421;1;1;1;300.80934395;1;1120000
7599440;1;1;1;174.16495965;1;140000
7599448;1;1;1;136.90494155;1;426000
7599455;1;2;1;219.77620991;1;152000
7599645;1;1;1;225.9107721;1;350000
7599651;1;1;1;188.78939088;1;800000
7599662;1;1;1;141.80017676;2;700000
7599675;1;1;1;141.73194544;3;1050000
7599675;2;1;2;141.73194544;1;380000
7599745;2;1;2;49.583040482;1;1200000
7599745;1;1;1;49.583040482;1;1200000
7599753;1;1;1;48.707068361;1;650000
7599831;1;1;1;50.848290268;1;800000
7599884;1;1;1;107.64195917;1;1600000
7599889;1;1;1;59.137505259;1;240000
7599924;1;1;1;162.06522794;1;456000
7599924;2;1;2;162.06522794;1;2136000
7599944;1;1;1;25.248925735;1;420000
7599948;1;1;1;22.89622453;1;1050000
7600165;1;1;1;116.5388078;1;400000
7600271;1;1;1;120.34453309;1;1920000
7600273;1;1;1;157.8512824;1;304000
7600383;1;1;1;18.700164544;1;1600000
7600384;1;1;1;18.156401611;1;2200000
7600410;1;1;1;79.888167091;1;608000
7600559;1;1;1;174.68681276;1;210000
7600604;1;1;1;251.80007536;1;139000
7600633;1;1;1;220.67512116;1;900000
7600639;1;1;1;177.95661094;1;450000
7600644;1;1;1;172.16619388;1;450000
7600647;1;1;1;212.27068288;1;450000
