DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P784S1A3
7574726;3;1;3;92.791852188;5
7574749;1;1;1;152.27372394;3
7574754;1;1;1;105.97598202;1
7574757;1;1;1;168.17747529;3
7574757;2;1;2;168.17747529;4
7574758;1;1;1;178.68052288;3
7574762;1;1;1;202.96490099;3
7574807;1;1;1;59.495469248;5
7574818;1;1;1;328.70343078;6
7574818;2;1;2;328.70343078;7
7574872;1;1;1;315.11757074;3
7574875;1;1;1;304.44758083;2
7574915;1;1;1;96.460496529;3
7574916;1;1;1;71.414475854;3
7574936;1;1;1;97.957361528;2
7574936;2;1;2;97.957361528;3
7574954;1;1;1;6.6255701569;3
7574954;2;1;2;6.6255701569;4
7574959;1;1;1;73.115936215;4
7574964;1;1;1;150.38411974;2
7574968;1;1;1;204.34306198;5
7574968;2;1;2;204.34306198;6
7574981;1;1;1;184.43857888;2
7574988;1;1;1;130.78944905;2
7574989;1;1;1;117.76379072;3
7575052;1;1;1;267.30859585;2
7575052;2;1;2;267.30859585;3
7575055;1;1;1;333.75903753;4
7575055;2;1;2;333.75903753;5
