DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P10000;P400;P401;P402;P403;P407S2;P5971;P5971S2;P5971S2A1
7567905;4;1;4;190.74597235;4;3;2;2;2;;;2;
7567910;3;1;3;79.389628154;2;3;2;2;2;;;2;
7567913;4;1;4;50.743510412;1;3;2;2;2;;;1;2
7567914;4;1;4;77.527056048;2;3;2;2;2;;;1;2
7567916;3;1;3;69.721437703;1;3;2;2;2;;;1;2
7567934;3;1;3;1554.1406749;1;3;2;2;2;;;1;2
7567934;4;1;4;1554.1406749;2;3;2;2;2;;;1;1
7567935;4;1;4;1474.6752447;1;3;2;2;2;;;1;2
7567955;4;1;4;705.3225726;1;3;2;2;2;;;1;3
7567957;4;1;4;731.73491975;4;3;2;2;2;;;1;2
7567957;5;1;5;731.73491975;2;3;2;2;2;;;1;2
7567959;2;1;2;566.79999526;1;3;2;2;2;;;2;
7567983;3;1;3;761.28891166;1;3;2;2;2;;;1;5
7567983;4;1;4;761.28891166;1;6;2;2;2;;;2;
7567986;4;1;4;686.67433193;1;3;2;2;2;;;2;
7567992;3;1;3;410.40071397;3;3;2;2;2;;;2;
7567999;3;1;3;928.75153876;3;3;2;2;2;;;2;
7568000;3;2;3;343.04843294;3;3;2;2;2;;;2;
7568017;3;1;3;910.8880581;1;3;2;2;2;;;2;
7568017;4;1;4;910.8880581;1;3;2;2;2;;;2;
7568023;3;1;3;1217.869682;1;3;2;2;2;;;2;
7568023;4;1;4;1217.869682;1;3;2;2;2;;;2;
7568034;3;1;3;754.15248163;3;3;2;2;2;;;1;5
7568035;3;1;3;944.09125444;3;3;2;2;2;;;1;2
7568035;4;1;4;944.09125444;4;3;2;2;2;;;2;
7568036;3;1;3;942.69060204;1;5;;;;;;2;
7568037;3;1;3;676.98670544;2;3;2;2;2;;;2;
7568038;3;1;3;754.15248163;3;3;2;2;2;;;2;
7568069;4;1;4;226.43856513;4;3;2;2;2;;;1;6
7568076;3;1;3;270.58429859;3;3;2;2;2;;;1;4
7568076;4;1;4;270.58429859;4;3;2;2;2;;;2;
7568079;2;1;2;201.08624632;1;3;2;2;2;;;2;
7568099;3;1;3;151.10152239;1;3;2;2;2;;;2;
7568102;2;1;2;131.46457603;1;3;2;2;2;;;1;1
7568103;5;1;5;216.25677119;2;3;2;2;2;;;1;1
7568107;4;1;4;66.109273883;1;3;2;2;2;;;2;
7568108;4;1;4;47.47424534;4;3;2;2;2;;;2;
7568108;6;1;6;47.47424534;6;3;2;2;2;;;2;
7568109;4;1;4;48.472994325;2;3;2;2;2;;;2;
7568111;5;1;5;51.379661841;5;3;2;2;2;;;2;
7568114;3;1;3;60.785502083;3;3;2;2;2;;;2;
7568120;3;1;3;87.105404319;3;3;2;2;2;;;2;
7568120;4;1;4;87.105404319;4;3;2;2;2;;;2;
7568121;5;1;5;75.177340933;5;6;2;2;2;;;2;
7568123;3;1;3;202.28599676;3;3;2;2;2;;;2;
7568126;2;1;2;233.39308104;2;3;2;2;2;;;2;
7568131;5;1;5;179.99123291;1;3;2;2;2;;;2;
7568132;3;1;3;195.8735161;3;3;2;2;2;;;2;
7568132;4;1;4;195.8735161;2;4;2;2;2;;;2;
7568139;3;1;3;297.76327347;3;3;2;2;2;;;2;
7568140;2;1;2;256.09694143;1;6;2;2;2;;;2;
7568146;4;1;4;219.73652184;4;3;2;2;2;;;2;
7568147;3;1;3;214.03999057;2;3;2;2;2;;;1;1
7568147;4;1;4;214.03999057;1;3;2;2;2;;;1;1
7568164;4;1;4;85.876661011;3;3;2;2;2;;;1;6
7568164;5;1;5;85.876661011;3;3;2;2;2;;;1;6
7568177;3;1;3;120.28502248;1;3;2;2;2;;;1;2
7568177;4;1;4;120.28502248;1;3;2;2;2;;;2;
7568179;2;1;2;104.54464414;1;3;2;2;2;;;2;
7568181;4;1;4;126.30937034;1;3;2;2;2;;;2;
7568182;4;1;4;2115.540157;3;3;2;2;2;;;2;
7568183;3;1;3;1891.3664982;1;3;2;2;2;;;2;
7568185;4;1;4;2096.0996946;2;3;2;2;2;;;2;
7568190;4;1;4;2560.7339794;4;3;2;2;2;;;2;
7568198;5;1;5;296.28689418;4;6;2;2;2;;;2;
7568208;4;1;4;361.74792413;2;3;2;2;2;;;2;
7568215;3;1;3;210.5447725;1;3;2;2;2;;;2;
7568216;3;1;3;558.74543302;3;3;2;2;2;;;2;
7568216;4;1;4;558.74543302;2;3;2;2;2;;;1;1
7568216;5;1;5;558.74543302;5;5;;;;;;1;1
7568222;4;1;4;260.57068532;1;3;2;2;2;;;2;
7568228;3;1;3;285.35839102;2;3;2;2;2;;;2;
7568234;3;1;3;206.15429171;1;3;2;2;2;;;2;
7568241;3;1;3;151.34932657;2;3;2;2;2;;;2;
7568245;3;1;3;257.84825502;2;6;2;2;2;;;2;
7568248;3;1;3;282.97112796;2;3;2;2;2;;;2;
