DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P8692S3A1
7576394;1;1;1;257.17209789;1
7576394;2;1;2;257.17209789;2
7576535;1;1;1;1398.6739576;1
7576535;2;1;2;1398.6739576;2
7576536;1;1;1;1243.6321887;1
7576536;2;1;2;1243.6321887;2
7576540;1;1;1;2634.3437949;1
7576540;2;1;2;2634.3437949;2
7576542;1;1;1;1416.4136562;1
7576542;2;1;2;1416.4136562;2
7576548;1;1;1;1420.5490342;1
7576548;2;1;2;1420.5490342;2
7576549;1;1;1;1583.1063002;1
7576549;2;1;2;1583.1063002;2
7576553;1;1;1;1534.1929569;1
7576553;2;1;2;1534.1929569;2
7576556;1;1;1;1404.9636274;1
7576556;2;1;2;1404.9636274;2
7576588;1;1;1;659.56669794;1
7576588;2;1;2;659.56669794;2
7576635;1;1;1;86.567132623;3
7576635;2;1;2;86.567132623;1
7576642;1;1;1;78.65822713;1
7576642;2;1;2;78.65822713;2
7576734;2;1;2;169.68099972;2
7576734;3;1;3;169.68099972;3
7576734;1;1;1;169.68099972;1
7576738;1;1;1;172.66256082;1
7576738;2;1;2;172.66256082;2
7576738;3;1;3;172.66256082;3
7576738;4;1;4;172.66256082;4
7576819;1;1;1;103.52845101;1
7576819;2;1;2;103.52845101;2
7576821;1;1;1;103.52845101;1
7576821;2;1;2;103.52845101;2
7576827;1;1;1;148.79695501;1
7576827;2;1;2;148.79695501;2
7576845;1;1;1;53.65035011;1
7576845;2;1;2;53.65035011;2
7576867;1;1;1;107.07260038;1
7576867;2;1;2;107.07260038;2
7576935;1;1;1;202.48712223;1
7576935;2;1;2;202.48712223;2
7576942;1;1;1;207.83244852;1
7576942;2;1;2;207.83244852;2
7576944;1;1;1;200.47316843;1
7576944;2;1;2;200.47316843;2
7576947;1;1;1;168.73926852;1
7576947;2;1;2;168.73926852;2
7576949;1;1;1;221.53303165;1
7576949;2;1;2;221.53303165;2
7576974;1;1;1;158.98884884;1
7576974;2;1;2;158.98884884;2
7576975;1;1;1;291.11649431;1
7576975;2;1;2;291.11649431;2
7576984;1;1;1;158.98884884;1
7576984;2;1;2;158.98884884;2
7576991;1;1;1;158.98884884;1
7576991;2;1;2;158.98884884;2
7577026;1;1;1;136.51202079;1
7577026;2;1;2;136.51202079;2
7577030;1;1;1;149.33149463;1
7577030;2;1;2;149.33149463;2
7577038;1;1;1;93.310309395;1
7577038;2;1;2;93.310309395;2
7577168;1;1;1;407.34270871;1
7577168;2;1;2;407.34270871;2
7577170;1;1;1;272.78136082;1
7577170;2;1;2;272.78136082;2
7577251;1;1;1;688.95052623;1
7577251;2;1;2;688.95052623;2
7577255;1;1;1;1199.5503543;1
7577255;2;1;2;1199.5503543;2
7577268;1;1;1;1215.8918228;1
7577268;2;1;2;1215.8918228;2
7577270;1;1;1;1146.3196291;1
7577270;2;1;2;1146.3196291;2
7577324;1;1;1;124.80376259;1
7577324;2;1;2;124.80376259;2
7577329;1;1;1;124.80376259;1
7577329;2;1;2;124.80376259;2
7577346;1;1;1;120.9968279;1
7577346;2;1;2;120.9968279;2
7577350;1;1;1;114.95437844;1
7577350;2;1;2;114.95437844;2
7577376;1;1;1;607.226143;1
7577376;2;1;2;607.226143;2
7577433;1;1;1;138.63534059;1
7577433;2;1;2;138.63534059;2
7577442;1;2;1;167.95714296;1
7577442;2;2;2;167.95714296;2
7577459;1;1;1;187.95553015;1
7577459;2;1;2;187.95553015;2
7577473;1;1;1;115.58177605;1
7577473;2;1;2;115.58177605;2
7577508;1;1;1;204.45699005;1
7577508;2;1;2;204.45699005;2
7577518;1;1;1;120.17397355;1
7577518;2;1;2;120.17397355;2
7577531;1;1;1;156.83854161;1
7577531;2;1;2;156.83854161;2
7577576;1;1;1;75.868738822;1
7577576;2;1;2;75.868738822;3
7577576;3;1;3;75.868738822;2
7577580;1;1;1;258.51746616;1
7577580;2;1;2;258.51746616;2
7577732;1;1;1;26.29934325;1
7577732;2;1;2;26.29934325;2
7577733;1;1;1;12.856056477;1
7577733;2;1;2;12.856056477;2
7577813;1;1;1;261.14942016;1
7577813;2;1;2;261.14942016;2
7577825;1;1;1;304.24520342;1
7577825;2;1;2;304.24520342;2
7577868;1;1;1;350.77299659;2
7577868;2;1;2;350.77299659;3
7577876;1;1;1;227.60202978;1
7577876;2;1;2;227.60202978;2
7577877;1;1;1;232.01591266;1
7577877;2;1;2;232.01591266;2
7577877;3;1;3;232.01591266;3
7577882;1;1;1;207.42648178;1
7577882;2;1;2;207.42648178;2
7577884;1;1;1;254.56886401;1
7577884;2;1;2;254.56886401;2
7577888;1;1;1;316.39926605;1
7577888;2;1;2;316.39926605;2
7577892;1;1;1;208.33341693;1
7577892;2;1;2;208.33341693;2
7577895;1;1;1;197.99976279;1
7577895;2;1;2;197.99976279;2
7577910;1;1;1;16.847897451;1
7577910;2;1;2;16.847897451;2
7577913;1;1;1;308.82905644;1
7577913;2;1;2;308.82905644;2
7577916;1;1;1;254.76180774;1
7577916;2;1;2;254.76180774;2
7577920;1;1;1;323.86474745;1
7577920;2;1;2;323.86474745;2
7577931;1;1;1;125.81393818;1
7577931;2;1;2;125.81393818;2
7577965;1;1;1;326.29909267;1
7577965;2;1;2;326.29909267;2
7578000;1;1;1;75.780267461;1
7578000;2;1;2;75.780267461;2
7578138;1;1;1;167.54829368;1
7578138;2;1;2;167.54829368;2
7578197;1;1;1;363.35768541;1
7578197;2;1;2;363.35768541;2
7578213;1;1;1;201.278215;1
7578213;2;1;2;201.278215;2
7578320;1;1;1;101.84130494;1
7578320;2;1;2;101.84130494;2
7578340;1;1;1;101.84130494;1
7578340;2;1;2;101.84130494;2
7578350;1;1;1;118.91732802;1
7578350;2;1;2;118.91732802;2
7578350;3;1;3;118.91732802;3
7578364;1;1;1;270.60744985;1
7578364;2;1;2;270.60744985;2
7578379;1;1;1;174.5151003;1
7578379;2;1;2;174.5151003;2
7578422;1;1;1;125.21177737;1
7578422;2;1;2;125.21177737;2
7578449;1;1;1;141.48731743;2
7578449;2;1;2;141.48731743;3
7578556;1;1;1;398.74338982;1
7578556;2;1;2;398.74338982;2
7578560;1;1;1;378.7218265;1
7578560;2;1;2;378.7218265;2
7578740;1;1;1;8.950478;1
7578740;2;1;2;8.950478;2
7578791;1;1;1;71.006323682;2
7578791;2;1;2;71.006323682;3
7578849;1;1;1;17.084393658;1
7578849;2;1;2;17.084393658;2
7578894;1;1;1;59.433048727;1
7578894;2;1;2;59.433048727;2
7578894;3;1;3;59.433048727;3
7579044;1;1;1;11.907516849;1
7579044;2;1;2;11.907516849;2
7583260;1;1;1;310.28693296;1
7583260;2;1;2;310.28693296;2
7583267;1;1;1;347.49410316;1
7583267;2;1;2;347.49410316;2
7583275;1;1;1;351.97008264;1
7583275;2;1;2;351.97008264;2
7583323;1;1;1;192.48619284;1
7583323;2;1;2;192.48619284;2
7583360;1;1;1;330.55317447;1
7583360;2;1;2;330.55317447;2
7583408;1;1;1;162.60681371;1
7583408;2;1;2;162.60681371;2
7583408;3;1;3;162.60681371;3
7583408;4;1;4;162.60681371;4
7583454;1;1;1;105.6771175;1
7583454;2;1;2;105.6771175;2
7583455;1;1;1;90.020279131;1
7583455;2;1;2;90.020279131;2
7583463;1;1;1;113.59844788;1
7583463;2;1;2;113.59844788;2
7583482;1;1;1;171.41492523;1
7583482;2;1;2;171.41492523;2
7583493;1;1;1;139.98446903;1
7583493;2;1;2;139.98446903;2
7583493;3;1;3;139.98446903;3
7583496;1;1;1;147.67798224;1
7583496;2;1;2;147.67798224;2
7583508;1;1;1;93.310309395;1
7583508;2;1;2;93.310309395;2
7583520;1;1;1;116.08744135;1
7583520;2;1;2;116.08744135;2
7583529;1;1;1;113.95739751;1
7583529;2;1;2;113.95739751;2
7583535;1;1;1;109.28457385;1
7583535;2;1;2;109.28457385;2
7583536;1;1;1;146.50324614;1
7583536;2;1;2;146.50324614;2
7583538;1;1;1;146.50324614;1
7583538;2;1;2;146.50324614;2
7583548;1;1;1;121.67394364;1
7583548;2;1;2;121.67394364;2
7583549;1;1;1;193.44766733;6
7583549;2;1;2;193.44766733;1
7583589;1;1;1;313.78289024;1
7583589;2;1;2;313.78289024;2
7583603;1;1;1;185.96475358;2
7583603;2;1;2;185.96475358;3
7583609;1;1;1;285.78888902;1
7583609;2;1;2;285.78888902;2
7583612;1;1;1;169.83861142;1
7583612;2;1;2;169.83861142;2
7583615;1;1;1;214.91612772;1
7583615;2;1;2;214.91612772;2
7583745;1;1;1;34.356073317;1
7583745;2;1;2;34.356073317;2
7583845;1;1;1;108.4220617;1
7583845;2;1;2;108.4220617;2
7583900;1;1;1;46.514366373;1
7583900;2;1;2;46.514366373;2
7583903;1;1;1;75.610784362;1
7583903;2;1;2;75.610784362;2
7584005;1;1;1;197.58073748;1
7584005;2;1;2;197.58073748;2
7584023;1;1;1;26.976407273;1
7584023;2;1;2;26.976407273;2
7584133;1;1;1;7.410368735;1
7584133;2;1;2;7.410368735;2
7584172;1;1;1;63.962187357;1
7584172;2;1;2;63.962187357;2
7584192;1;1;1;67.545486353;1
7584192;2;1;2;67.545486353;2
7584209;1;1;1;48.355032583;1
7584209;2;1;2;48.355032583;2
7584224;1;1;1;34.348502949;1
7584224;2;1;2;34.348502949;2
7584225;1;1;1;29.743958991;1
7584225;2;1;2;29.743958991;2
7584324;1;1;1;348.02219539;2
7584324;2;1;2;348.02219539;3
7584324;3;1;3;348.02219539;6
7584324;4;1;4;348.02219539;4
7584395;1;1;1;51.187652306;1
7584395;2;1;2;51.187652306;2
7584398;1;1;1;320.9759078;1
7584398;2;1;2;320.9759078;2
7584431;1;1;1;34.81566391;1
7584431;2;1;2;34.81566391;2
7584466;1;1;1;42.165315009;1
7584466;2;1;2;42.165315009;2
7584595;1;1;1;231.95856338;1
7584595;2;1;2;231.95856338;2
7584616;1;1;1;256.94987214;1
7584616;2;1;2;256.94987214;2
7584676;1;1;1;301.01010262;1
7584676;2;1;2;301.01010262;2
7584731;1;1;1;191.7956039;2
7584731;2;1;2;191.7956039;3
7584731;3;1;3;191.7956039;4
7584821;1;1;1;311.90131532;1
7584821;2;1;2;311.90131532;2
7584876;1;1;1;147.44294577;1
7584876;2;1;2;147.44294577;2
7584899;1;1;1;1354.5336445;1
7584899;2;1;2;1354.5336445;2
7584926;1;1;1;9.6447300733;1
7584926;2;1;2;9.6447300733;2
7584937;1;1;1;530.0615305;1
7584937;2;1;2;530.0615305;2
7584951;1;1;1;591.93243522;1
7584951;2;1;2;591.93243522;2
7584958;1;1;1;492.21683796;1
7584958;2;1;2;492.21683796;2
7584980;1;1;1;70.570009959;1
7584980;2;1;2;70.570009959;2
7585021;1;1;1;34.452964816;1
7585021;2;1;2;34.452964816;2
7585045;1;1;1;160.39545736;1
7585045;2;1;2;160.39545736;2
7585084;1;1;1;28.938800845;1
7585084;2;1;2;28.938800845;2
7585100;1;1;1;53.07789813;1
7585100;2;1;2;53.07789813;2
7585113;1;1;1;298.57449463;1
7585113;2;1;2;298.57449463;2
7585177;1;1;1;341.32864518;1
7585177;2;1;2;341.32864518;2
7585180;1;1;1;341.32864518;1
7585180;2;1;2;341.32864518;2
7585218;1;1;1;42.708028481;1
7585218;2;1;2;42.708028481;3
7585295;1;1;1;83.817524502;1
7585295;2;1;2;83.817524502;2
7585304;1;1;1;175.34111996;1
7585304;2;1;2;175.34111996;2
7585328;1;1;1;640.66041302;1
7585328;2;1;2;640.66041302;2
7585330;1;1;1;560.32364654;1
7585330;2;1;2;560.32364654;2
7585331;1;1;1;750.40891014;1
7585331;2;1;2;750.40891014;2
7585337;1;1;1;102.70224951;1
